index,,in Watt,,,in nm (not used for now),in cm2,,
model,Manufacturer,TDP,n_cores,Release_year,feature_size,die_area,source,comment
Xeon w7-3455,Intel,270,24,2023.0,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w7-3455.c3109,
Xeon w7-3465X,Intel,300,28,2023.0,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w7-3465x.c3108,
Xeon w9-3475X,Intel,300,36,2023.0,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w9-3475x.c3107,
Xeon w9-3495X,Intel,350,56,2023.0,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w9-3495x.c3106,
Xeon Gold 6148,Intel,150,20,2017.0,14,6.94,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server) https://www.intel.fr/content/www/fr/fr/products/sku/120489/intel-xeon-gold-6148-processor-27-5m-cache-2-40-ghz/specifications.html,die size for XCC configuration
Xeon E5-2620 v2,Intel,95,6,2012.0,32,4.35,https://www.techpowerup.com/cpu-specs/xeon-e5-2620.c969,
Xeon E5-2620 v4,Intel,85,8,2016.0,14,2.4624,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)#Die_Stats https://ark.intel.com/content/www/fr/fr/ark/products/92986/intel-xeon-processor-e52620-v4-20m-cache-2-10-ghz.html,die size for LCC configuration
Xeon Gold 6248,Intel,150,20,2019.0,14,6.94,https://www.intel.fr/content/www/fr/fr/products/sku/192446/intel-xeon-gold-6248-processor-27-5m-cache-2-50-ghz/specifications.html,We can see on [[https://www.intel.fr/content/www/fr/fr/products/sku/192446/intel-xeon-gold-6248-processor-27-5m-cache-2-50-ghz/specifications.html][Intel's webpage]] that it is a processor of the Cascade Lake architecture. On [[https://en.wikichip.org/wiki/intel/microarchitectures/cascade_lake#LCC_SoC][Wikichip]]
Xeon E5-2698 v4,Intel,135,20,2016.0,14,4.56,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)),XCC configuration
Xeon E5-2697 v4,Intel,145,18,2016.0,14,4.56,https://en.wikichip.org/wiki/intel/microarchitectures/broadwell_(client)),XCC configuration
Xeon Gold 6152,Intel,140,22,2017.0,14,6.94,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server),XCC configuration
